PC12346
"DisplayName","DisplayVersion","InstallDate","Maintainer"
"Microsoft TestPlatform SDK Local Feed","17.10.0.9037153","20241017","chocolatey"
"Microsoft Visio LTSC Professional 2021 - de-de","16.0.14332.20791",,"chocolatey"
"Microsoft Visio LTSC Professional 2021 - de-de.proof","16.0.14332.20791",,"chocolatey"
"Microsoft Visio LTSC Professional 2021 - en-us","16.0.14332.20791",,"chocolatey"
"Microsoft Visio LTSC Professional 2021 - en-us.proof","16.0.14332.20791",,"chocolatey"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810","14.40.33810.0",,"chocolatey"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810","14.40.33810.0",,"chocolatey"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.40.33810","14.40.33810","20241017","chocolatey"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.40.33810","14.40.33810","20241017","chocolatey"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33810","14.40.33810","20241017","chocolatey"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.40.33810","14.40.33810","20241017","chocolatey"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.40.33810","14.40.33810","20241017","chocolatey"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.40.33810","14.40.33810","20241017","chocolatey"
"Microsoft Visual Studio Code","1.89.1","20241017","chocolatey"
"Microsoft Visual Studio Installer","3.10.2154.60269","20241017","chocolatey"
"Microsoft Visual Studio Setup Configuration","3.9.2148.60653","20241017","chocolatey"
"Microsoft Visual Studio Setup WMI Provider","3.9.2148.60653","20241017","chocolatey"
"Microsoft Web Deploy 4.0","10.0.8305","20241017","chocolatey"
"Microsoft Windows Desktop Runtime - 8.0.6 (x64)","64.24.15241","20241017","chocolatey"
"Microsoft Windows Desktop Runtime - 8.0.6 (x86)","64.24.15241","20241017","chocolatey"
"Microsoft Windows Desktop Targeting Pack - 8.0.6 (x64)","64.24.15241","20241017","chocolatey"
"Microsoft Windows Desktop Targeting Pack - 8.0.6 (x86)","64.24.15241","20241017","chocolatey"
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","34.0.95","20241017","chocolatey"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.0.15042","20241017","chocolatey"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.2.8053","20241017","chocolatey"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.2.8053","20241017","chocolatey"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.2.8053","20241017","chocolatey"
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","8.0.40","20241017","chocolatey"
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","17.2.8053","20241017","chocolatey"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.20.13491","20241017","chocolatey"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.20.13491","20241017","chocolatey"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.20.13491","20241017","chocolatey"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.20.13583","20241017","chocolatey"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.20.13583","20241017","chocolatey"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.20.13583","20241017","chocolatey"
"Mozilla Firefox ESR (x64 en-US)","128.3.1",,"chocolatey"
"Mozilla Maintenance Service","128.2.3",,"chocolatey"
"Mozilla Thunderbird (x64 en-GB)","128.2.3",,"chocolatey"
"MSI Development Tools","10.1.22621.3233","20241017","chocolatey"
"Notepad++ (64-bit x64)","8.7",,"chocolatey"
"Office 16 Click-to-Run Extensibility Component","16.0.14332.20791","20241017","chocolatey"
"Office 16 Click-to-Run Licensing Component","16.0.14332.20791","20241017","chocolatey"
"Office 16 Click-to-Run Localization Component","16.0.14332.20791","20241017","chocolatey"
"paint.net","5.0.13","20241017","chocolatey"
"Paket zur Festlegung von ""Doc Redirected""-Zielversionen von Microsoft .NET Framework 4.7.1 (Deutsch)","4.7.02558","20241017","chocolatey"
"Paket zur Festlegung von Zielversionen von Microsoft .NET Framework 4.7.2 (Deutsch)","4.7.03062","20241017","chocolatey"
"Paket zur Festlegung von Zielversionen von Microsoft .NET Framework 4.8 (Deutsch)","4.8.03761","20241017","chocolatey"
"PDF-XChange PRO","10.3.0.386","20241017","chocolatey"
"PuTTY release 0.81 (64-bit)","0.81.0.0","20241017","chocolatey"
"Python 3.12.2 Add to Path (64-bit)","3.12.2150.0","20241017","chocolatey"
"Python 3.12.2 Core Interpreter (64-bit)","3.12.2150.0","20241017","chocolatey"
"Python 3.12.2 Development Libraries (64-bit)","3.12.2150.0","20241017","chocolatey"
"Python 3.12.2 Documentation (64-bit)","3.12.2150.0","20241017","chocolatey"
"Python 3.12.2 Executables (64-bit)","3.12.2150.0","20241017","chocolatey"
"Python 3.12.2 pip Bootstrap (64-bit)","3.12.2150.0","20241017","chocolatey"
"Python 3.12.2 Standard Library (64-bit)","3.12.2150.0","20241017","chocolatey"
"Python 3.12.2 Tcl/Tk Support (64-bit)","3.12.2150.0","20241017","chocolatey"
"Python 3.12.2 Test Suite (64-bit)","3.12.2150.0","20241017","chocolatey"
"Python Launcher","3.12.2150.0","20241017","chocolatey"
"SDK ARM Additions","10.1.22621.3233","20241017","chocolatey"
"SDK ARM Redistributables","10.1.22621.3233","20241017","chocolatey"
"SMPlayer 24.5.0 (x64)","24.5.0",,"chocolatey"
"UltraISO Premium V9.76","9.76","20241017","chocolatey"
"Unity Hub 2.4.4","2.4.4",,"chocolatey"
"Universal CRT Extension SDK","10.1.22621.3233","20241017","chocolatey"
"Universal CRT Headers Libraries and Sources","10.1.22621.3233","20241017","chocolatey"
"Universal CRT Redistributable","10.0.26624","20241017","chocolatey"
"Universal CRT Tools x64","10.1.22621.3233","20241017","chocolatey"
"Universal CRT Tools x86","10.1.22621.3233","20241017","chocolatey"
"Universal General MIDI DLS Extension SDK","10.1.22621.3233","20241017","chocolatey"
"vcpp_crt.redist.clickonce","14.40.33810","20241017","chocolatey"
"Visual Studio Community 2022","17.10.3","20241017","chocolatey"
"VLC media player","3.0.21",,"chocolatey"
"VS Immersive Activate Helper","17.0.125.0","20241017","chocolatey"
"VS JIT Debugger","17.0.125.0","20241017","chocolatey"
"VS Script Debugging Common","17.0.125.0","20241017","chocolatey"
"vs_BlendMsi","17.10.34803","20241017","chocolatey"
"vs_clickoncebootstrappermsi","17.10.34804","20241017","chocolatey"
"vs_clickoncebootstrappermsires","17.10.34803","20241017","chocolatey"
"vs_clickoncesigntoolmsi","17.10.34803","20241017","chocolatey"
"vs_communitymsires","17.10.34804","20241017","chocolatey"
"vs_communitysharedmsi","17.10.34804","20241017","chocolatey"
"vs_communityx64msi","17.10.34804","20241017","chocolatey"
"vs_devenvsharedmsi","17.10.34803","20241017","chocolatey"
"vs_devenx64vmsi","17.10.34803","20241017","chocolatey"
"vs_filehandler_amd64","17.10.34804","20241017","chocolatey"
"vs_filehandler_x86","17.10.34804","20241017","chocolatey"
"vs_FileTracker_Singleton","17.10.34804","20241017","chocolatey"
"vs_githubprotocolhandlermsi","17.10.34803","20241017","chocolatey"
"vs_Graphics_Singletonx64","17.10.34804","20241017","chocolatey"
"vs_Graphics_Singletonx86","17.10.34804","20241017","chocolatey"
"vs_minshellinteropsharedmsi","17.10.34804","20241017","chocolatey"
"vs_minshellinteropx64msi","17.10.34803","20241017","chocolatey"
"vs_minshellmsires","17.10.34804","20241017","chocolatey"
"vs_minshellsharedmsi","17.10.34804","20241017","chocolatey"
"vs_minshellx64msi","17.10.34804","20241017","chocolatey"
"vs_SQLClickOnceBootstrappermsi","17.10.34803","20241017","chocolatey"
"vs_tipsmsi","17.10.34803","20241017","chocolatey"
"vs_vswebprotocolselectormsi","17.10.34803","20241017","chocolatey"
"vs_vswebprotocolselectormsires","17.10.34803","20241017","chocolatey"
"WinAppDeploy","10.1.22621.3233","20241017","chocolatey"
"Windows App Certification Kit Native Components","10.1.22621.3233","20241017","chocolatey"
"Windows App Certification Kit SupportedApiList x86","10.1.22621.3233","20241017","chocolatey"
"Windows App Certification Kit x64","10.1.22621.3233","20241017","chocolatey"
"Windows App Certification Kit x64 (OnecoreUAP)","10.1.22621.3233","20241017","chocolatey"
"Windows Desktop Extension SDK","10.1.22621.3233","20241017","chocolatey"
"Windows Desktop Extension SDK Contracts","10.1.22621.3233","20241017","chocolatey"
"Windows IoT Extension SDK","10.1.22621.3233","20241017","chocolatey"
"Windows IoT Extension SDK Contracts","10.1.22621.3233","20241017","chocolatey"
"Windows Mobile Extension SDK","10.1.22621.3233","20241017","chocolatey"
"Windows Mobile Extension SDK Contracts","10.1.22621.3233","20241017","chocolatey"
"Windows SDK","10.1.22621.3233","20241017","chocolatey"
"Windows SDK AddOn","10.1.0.0","20241017","chocolatey"
"Windows SDK ARM Desktop Tools","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Headers arm","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Headers arm64","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Headers x64","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Headers x86","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Libs arm","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Libs arm64","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Libs x64","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Libs x86","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Tools arm64","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Tools x64","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Desktop Tools x86","10.1.22621.3233","20241017","chocolatey"
"Windows SDK DirectX x64 Remote","10.1.22621.3233","20241017","chocolatey"
"Windows SDK DirectX x86 Remote","10.1.22621.3233","20241017","chocolatey"
"Windows SDK EULA","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Facade Windows WinMD Versioned","10.1.22621.3233","20241017","chocolatey"
"Windows SDK for Windows Store Apps","10.1.22621.3233","20241017","chocolatey"
"Windows SDK for Windows Store Apps Contracts","10.1.22621.3233","20241017","chocolatey"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.22621.3233","20241017","chocolatey"
"Windows SDK for Windows Store Apps Headers","10.1.22621.3233","20241017","chocolatey"
"Windows SDK for Windows Store Apps Libs","10.1.22621.3233","20241017","chocolatey"
"Windows SDK for Windows Store Apps Metadata","10.1.22621.3233","20241017","chocolatey"
"Windows SDK for Windows Store Apps Tools","10.1.22621.3233","20241017","chocolatey"
"Windows SDK for Windows Store Managed Apps Libs","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Modern Versioned Developer Tools","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Redistributables","10.1.22621.3233","20241017","chocolatey"
"Windows SDK Signing Tools","10.1.22621.3233","20241017","chocolatey"
"Windows Software Development Kit - Windows 10.0.22621.3233","10.1.22621.3233",,"chocolatey"
"Windows Team Extension SDK","10.1.22621.3233","20241017","chocolatey"
"Windows Team Extension SDK Contracts","10.1.22621.3233","20241017","chocolatey"
"WinRT Intellisense Desktop - en-us","10.1.22621.3233","20241017","chocolatey"
"WinRT Intellisense Desktop - Other Languages","10.1.22621.3233","20241017","chocolatey"
"WinRT Intellisense IoT - en-us","10.1.22621.3233","20241017","chocolatey"
"WinRT Intellisense IoT - Other Languages","10.1.22621.3233","20241017","chocolatey"
"WinRT Intellisense Mobile - en-us","10.1.22621.3233","20241017","chocolatey"
"WinRT Intellisense PPI - en-us","10.1.22621.3233","20241017","chocolatey"
"WinRT Intellisense PPI - Other Languages","10.1.22621.3233","20241017","chocolatey"
"WinRT Intellisense UAP - en-us","10.1.22621.3233","20241017","chocolatey"
"WinRT Intellisense UAP - Other Languages","10.1.22621.3233","20241017","chocolatey"
"WPT Redistributables","10.1.22621.3233","20241017","chocolatey"
"WPTx64 (DesktopEditions)","10.1.22621.3233","20241017","chocolatey"
"WPTx64 (OnecoreUAP)","10.1.22621.3233","20241017","chocolatey"
"XnView MP (x64)","1.7.2.0","20241017","chocolatey"
